input,output,choices,dataset_name,id
"Question: who scored more point the viking or the 49ers?
Answer based on following passage.

In the 49ers first game with new Coach Jim Tomsula, the 49ers defeated the Minnesota Vikings 20-3 on Monday Night Football. Carlos Hyde in his first career start rushed 26 times for 168 yards and two touchdowns. Hyde's 168 rushing yards are the most by a 49ers player since 2012, when Colin Kaepernick rushed for 181 against the Packers. Colin Kaepernick went 17 for 26 with 165 yards passing. The 49ers defense was stout, holding the Vikings to just three points and sacking Vikings QB Teddy Bridgewater five times. Adrian Peterson, returning from suspension, rushed for only 31 yards on 10 carries. This game also marked the return of NaVorro Bowman, who missed all of the 2014 season with an injury. He had seven tackles and a sack in the season opener. In addition, the 49ers introduced black alternate uniforms.

Answer:",49ers,,drop,6677.0
"The darker the urine, the less water it contains.

Mona urinated yesterday morning and the urine was very light. When she urinated today the urine was very dark. Which urination contained more water yesterday morning or today?",yesterday morning,yesterday morning|||today,quartz,1490.0
"Question: How many yards was the second shortest field goal?
Answer based on following passage.

Coming off their win over the Saints, the Falcons stayed at home for a Week 11 interconference duel with the Denver Broncos.  In the first quarter, Atlanta trailed early as Broncos FB Peyton Hillis got a 7-yard TD run. The Falcons would answer with kicker Jason Elam (a former Bronco) getting a 46-yard field goal. In the second quarter, Atlanta took the lead as Elam made a 36-yard field goal, while RB Michael Turner got a 9-yard TD run. In the third quarter, Denver retook the lead as Hillis got a 2-yard TD run.  In the fourth quarter, the Broncos increased their lead as kicker Matt Prater nailed a 20-yard field goal.  The Falcons tried to rally as Turner got a 28-yard field goal, yet Denver replied with quarterback Jay Cutler competing a 9-yard TD pass to TE Daniel Graham.  From there on out, the Broncos' defense stopped any other possible comeback attempt. With their first home loss of the year, Atlanta fell to 6-4. This was the first of only two home losses suffered by Matt Ryan in the NFL through 12/27/2010. The second was to the New Orleans Saints on December 27, 2010, the final Monday Night Football game of the 2010 season.

Answer:",28,,drop,6879.0
What emotion does the following message express? i feel like i can and have accepted that but will others,love,sadness|||joy|||love|||anger|||fear|||surprise,emotion,3589.0
"Article:

Testimony: Saajid Badat, who spent six years in jail for terror offences, gave evidence via video-link A Briton has told the trial of Osama bin Laden’s son-in-law that he wore a shoe bomb on a flight to the UK. Saajid Badat, who gave evidence in the New York trial via video link from Britain, said yesterday he wore the bomb on at least one flight between Holland and the UK in December 2001. But he said he didn’t detonate it because he was saving it for an attack over America. Badat, 34, revealed details of the plot as he testified at the trial of Sulaiman Abu Ghaith, bin Laden’s son-in-law and Al Qaeda’s spokesman after the 9/11 attacks in 2001.


Highlights:


Saajid Badat, 34, gave evidence via video link in trial of Sulaiman Abu Ghaith


He admitted wearing the bomb on at least one flight between Holland and UK


Badat was jailed for terror offences and served six years in prison


Told the trial in New York how he had laughed about 9/11 terror attacks


Abu Ghaith, 48, faces life in jail if convicted of conspiracy to kill Americans",Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Al Qaeda when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.,Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with UK when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Abu Ghaith when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Holland when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Sulaiman Abu Ghaith when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Americans when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with America when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Osama bin Laden when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Al Qaeda when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Briton when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Badat when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with bin Laden when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Saajid Badat when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with Britain when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.|||Prosecutors are using Badat’s testimony to show Abu Ghaith played a pivotal role with New York when he warned Americans ‘the storm of aircrafts will not stop’ on videotapes widely distributed after the September 11 attacks.,record,24980.0
"Pick the most correct option to answer the following question.

A hot, boiled egg is put into a cup of cold water. What happens to the temperature of the water and the egg?

Options:

- A: The water gets colder and the egg gets warmer.

- B: The water gets warmer and the egg gets colder.

- C: The water temperature stays the same and the egg gets colder.

- D: Both the water and the egg get warmer.",The water gets warmer and the egg gets colder.,The water gets colder and the egg gets warmer.|||The water gets warmer and the egg gets colder.|||The water temperature stays the same and the egg gets colder.|||Both the water and the egg get warmer.,arc,417.0
"Given this review: ""The Reicast is a waste of your time I just recently downloaded two rooms for this emulator and tried to play Sonic Adventure on it along with Adventure 2  But all I got was either no memory card inserted or it just takes me back to the browser. I swear it was working fine earlier this month & now it's not. What gives? Anyway...Don't ever find yourself using this emulator. Stick with getting an actual Dreamcast Console off eBay because you'll be a lot happier that way. TRUST ME!""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Not at all,Not at all|||No|||Maybe|||Yes|||Definitely,app_reviews,5613.0
"Summarize: Carson: I am going to Shambala this year
Carson: You guys going? 
Sheldon: Idk
Sheldon: I just spent some money on Calgary Stampede
Carson: Dang
Carson: Tix for Shambala are cheap until the end of this year
Sheldon: I might borrow some money from my mom 
Tina: I am going to Shambala
Carson: What? Wow didn't know! 
Tina: Ye I just realized that 
Tina: The Tix are cheaper! 
Carson: We should plan out stuff! 
Carson: I still have no one to go with until now Tina xd
Tina: Yea let's get a place to stay! 
Carson: I will look at some hostels
Tina: great great",Carson will go to Shambala. Sheldon will too if his mom will lent him money. Tina will go too.The tickets cost less. Carson and Tina will rent a place to stay together.,,samsum,2451.0
"Read the following conversation and answer the question.

M: Did you watch the TV special about barnacles last night?

W: No, I missed it. What did you learn about them?

M: That they glue themselves to rocks in the ocean, shortly after birth. They also stay in the same place forever.

W: Right, have you ever tried removing one of those things? It would be easier to chip the rock away than to get the barnacles off.

M: Exactly, and that's why scientists are trying to figure out what the barnacles glue is made of. It's considered one of the strongest adhesives in nature.

W: And it would have the advantage of being able to work on wet surfaces too.

M: Precisely, and because it's natural protein, it probably wouldn't be harmful to people like so many synthetic glues in use today.

W: Think of all the ways doctors and dentists could use such a glue, mending broken bones, fasting false teeth.

M: There could be countless uses. Scientists hope to learn soon exactly how the glue is made, so that people can make use of it.

Question: How many uses about such a glue are mentioned in the dialogue? 

- Two.

- There.

- Only one.",Two.,Two.|||There.|||Only one.,dream,4242.0
"19 Recordings, a recording label owned by 19 Entertainment, currently hold the rights to phonographic material recorded by all the contestants. 19 originally partnered with Bertelsmann Music Group (BMG) to promote and distribute the recordings through its labels RCA Records, Arista Records, J Records, Jive Records. In 2005-2007, BMG partnered with Sony Music Entertainment to form a joint venture known as Sony BMG Music Entertainment. From 2008-2010, Sony Music handled the distribution following their acquisition of BMG. Sony Music was partnered with American Idol and distribute its music, and In 2010, Sony was replaced by as the music label for American Idol by UMG's Interscope-Geffen-A&M Records.

With reference to the above context, Who did BMG partner with in 2005-2007?",Sony Music Entertainment,,squad,7727.0
"We have the sentence: military commander delivers a speech; 
Extract all the key concepts:","speech, deliver, commander",,common_gen,13391.0
"I want to edit the following articles into a more concise summary:


Article: If your cultural memory goes back to the 1970s, here's what you already know, or think you know, about the subject of James Marsh's film ""Project Nim"" : An infant chimpanzee called Nim -- or Nim Chimpsky, in joking homage to linguist Noam Chomsky -- was raised entirely by humans and taught elements of American Sign Language, as part of an experiment that aimed to determine whether an ape could acquire language the same way we do. (If one could, that might disprove Chomsky's contention that humans are uniquely hard-wired for language.) The results of the experiment were controversial at the time and remain so today. Herbert Terrace, the Columbia University psychologist who designed the project, ultimately decided that Nim hadn't gotten anywhere near a syntactical understanding of human language and used his vocabulary of 125 or so signs merely as a primitive code to achieve short-term goals, such as a piece of fruit or a play session. 
 
 As he did in his Oscar-winning ""Man on Wire,"" Marsh takes a much-mythologized, media-friendly event of yesteryear and gradually fills in the background and context via a meticulous blend of archival footage, talking-head interviews and artful reconstructions. (This film is based on Elizabeth Hess' 2008 book ""Nim Chimpsky: The Chimp Who Would Be Human."") As with Philippe Petit's 1974 wire-walk between the Twin Towers, the Nim experiment looks a whole lot different in retrospect. ""Project Nim"" is a darkly hilarious social portrait of the bizarre alternate universe of 1970s academia and an extraordinary biography of a non-human individual, on whom all sorts of human desires and ideologies were projected. Marsh is far too scrupulous, or too canny, to take sides in the dispute between Terrace and his many detractors, but he doesn't have to. Basically, the more the guy opens his mouth, the more he looks like a massive sleazebag, and the more you learn about his so-called experiment, the more it looks like a misbegotten and sloppily executed disaster that says more about human...


Article:  science Science Identifies the Saddest Movie Scene of All Time 
 
 It's in The Champ, the 1979 Jon Voight movie about a washed-up old boxer and his adorable son, played by Ricky Schroder. A couple of researchers figured out that showing people the two-and-a-half-minute climax of the film, which you can watch here, was the easiest way to get them crying without punching them in the face. [Smithsonian via Moviefone] 


Article:  What's the Saddest Movie Ever Made? Science Knows the Answer","New York and Moviefone point to a fascinating 1995 study brought back into the spotlight by Smithsonian: The study found that the saddest movie clip of all time may very well be from a poorly-reviewed 1979 boxing movie. Two scientists set out to find the best film scenes to elicit specific emotional responses, from sadness to anger, and found that The Champ's depiction of a heartbroken 9-year-old Ricky Schroder did the trick when it came to depressing people. The clip has been used over and over in the past 16 years, in various experiments related to sadness (for example, it helped to determine that sad people are more likely to spend money). Other results from the 1995 study included the clips most likely to inspire disgust (an amputation scene), contentment (a beach scene), and fear (The Shining and Silence of the Lambs). Second to The Champ for sadness? The death of Bambi's mom. Click to see the clip found to be most amusing.",,multi_news,19023.0
"Are the following two sentences ""equivalent"" or ""not equivalent""?
Both were declared dead about 6 p.m. at Brookdale University Hospital and Medical Center .
Both shooting victims were rushed to Brookdale University Hospital Medical Center , where they died a short time later .",not equivalent,not equivalent|||equivalent,mrpc,3404.0
"Click here to read Neil Ashton's interview with Adel Taarabt Adel Taarabt and Harry Redknapp aren't exactly getting on at the moment. After QPR's last-gasp defeat against Liverpool on Sunday, the manager gave it both barrels to Taarabt about his physique, claiming the maverick was 'three stone overweight'. The 25-year-old wasn't particularly impressed with that assertion and told Sportsmail that he would prove he's in tip-top shape. And it isn't the first time managers have played out major bust-ups with their players in public. Sportsmail takes a look at some of the more colourful characters to have disagreed in the past.
@highlight
Harry Redknapp labelled Adel Taarabt 'three stone overweight'
@highlight
Graeme Souness and Craig Bellamy were involved in bitter spat at Newcastle back in 2005
@highlight
Roberto Mancini grabbed Mario Balotelli by the bib at Manchester City
@highlight
Paolo Di Canio once dragged Swindon goalkeeper Wes Foderingham off after just 20 minutes during a game 
Craig Bellamy was alleged to feigned an injury in order not to play for @placeholder under Graeme Souness 
In the question above, the ""@placeholder"" stands for",Newcastle,Paolo Di Canio|||Newcastle|||Manchester City|||Roberto Mancini|||Mario Balotelli|||QPR|||Craig Bellamy|||Adel Taarabt|||Neil Ashton|||Harry Redknapp|||Liverpool|||Taarabt|||Wes Foderingham|||Sportsmail|||Swindon|||Graeme Souness,record,13632.0
"Article: CALCUTTA, India Mar 24, 2006 (AP) -- One of the world's oldest creatures, a giant tortoise believed to have been about 250 years old, has died in the Calcutta zoo where it spent more than half its long life. 
Addwaita, which means ""the one and only"" in the local Bengali language, was one of four Aldabra tortoises brought to India by British sailors in the 18th century. Zoo officials say he was a gift for Lord Robert Clive of the East India Company, who was instrumental in establishing British colonial   rule in India, before he returned to England in 1767. Long after the other three tortoises died, Addwaita continued to thrive  , living in Clive's garden before being moved to the zoo in 1875. 
""According to records in the zoo, the age of the giant tortoise, Addwaita, who died on Wednesday, would be about 250 years,"" said zoo director Subir Chowdhury. That would have made him much older than the world's oldest documented   living animal: Harriet, a 176-year-old Galapagos tortoise who lives at the Australia Zoo north of Brisbane, according to the zoo's Web site. She was taken from the island of Isla Santa Cruz by Charles Darwin in the 19th century. 
Aldabra tortoises come from the Aldabra atoll  in the Seychelle islands in the Indian Ocean, and often live to more than 100 years of age. Males can weigh up to 550 pounds. Addwaita, the zoo's biggest attraction, had been unwell for the last few days, said local Forest Minister Jogesh Burman.
""We were keeping a watch on him. When the zoo keepers went to his enclosure on Wednesday they found him dead,"" Burman said.
Question: In the last few days before Addwaita died, he   _  .
Yes or no, is the answer ""had been found not better than before""?",No,Yes|||No,race,32469.0
"Process:

- Put water in an ice cube tray
- Put the ice cube tray in the freezer
- Wait 5 to 6 hours
- Take the ice cube tray out of the freezer
- Bend the tray slightly to get the ice cubes out and into a drink.

Perturbation hypothesis:
suppose there has been a flood happens, how will it affect the ice will take longer to freeze.

Does the supposed perturbation have an effect (direct or indirect) on the process?",yes,yes|||no,wiqa,26280.0
"Answer the question based on the following text.

Question:


If Mona heats up the air she is putting into her weather balloon, what will happen to the height that it can rise into the troposphere increase or decrease? 


Text:

Warm air is less dense than cool air, so it rises higher in the troposphere.",increase,increase|||decrease,quartz,1337.0
"Condense the article down to the essentials to present it in the form of short cards in mobile news apps:

(CNN) -- They are everywhere, Haiti's precious and beautiful children. They make up more than a third of the country's 10 million-plus population. You see them on rooftops -- where there are rooftops -- flying kites. You see them gathered in small circles on the ground --where the ground is not muddy -- playing marbles. You see them skip around where the ground is muddy, sometimes bathing in water from manholes. You see them link hands and run in a circle while singing a song associated with the won, the Haitian equivalent of ""Ring Around the Rosie."" You see them fight for a turn at jumping rope. You see them twirl a bicycle wheel with a bent rope hanger and in that act you can see the dream of one day actually driving the rest of the bike, or a motorcycle, a car or an airplane. You see them carry gallons and buckets of water on tiny heads that have no place to rest. You see them suddenly appear in the middle of Port-au-Prince's impenetrable traffic and, dressed in dirty rags, plop an even dirtier rag on the hood of your car. You see them file in and out of the same traffic wearing striking school uniforms with different color plaid tops. Sometimes you see them wearing their Sunday best in the middle of the week. For more about CNN's ""Rescued"" documentary, read here . You see them packed into tents made of sticks and bedsheets -- and if they're lucky, tarp or plastic -- and some of them appear listless, their bloated bellies and reddened hair competing for your attention. If you say hello, some will answer you but they will avoid your gaze, both out of respect for you and shame at their condition. You see them stand in lines, backs straight even while the sun beats down on their heads and sweat rolls down their faces, as they wait for a bottle of water or a plate of food. You see them wobble on makeshift crutches for their newly amputated limbs even as they wince from pain that even some adults would find difficult to bear. Nevertheless they are children, Haiti's future. The January 12, 2010, earthquake...","Edwidge Danticat says Haiti's children are brave and resilient .
She says they have endured great hardship since the earthquake .
Danticat: The survival of Haiti rests on the childrens' shoulders .
CNN report on Haiti's children, ""Rescued,"" airs Saturday, May 8 at 8 pm ET .",,cnn_daily_mail,10533.0
"Addison lied through their teeth which made everyone distrust her even more.

Given the context: How would everyone feel as a result?

Possible answers: distrustful of Addison, a person who cannot be trusted, proud of Addison",distrustful of Addison,distrustful of Addison|||a person who cannot be trusted|||proud of Addison,social_iqa,32205.0
"Given the following passage

""Formal membership varies between communities, but basic lay adherence is often defined in terms of a traditional formula in which the practitioner takes refuge in The Three Jewels: the Buddha, the Dharma (the teachings of the Buddha), and the Sangha (the Buddhist community). At the present time, the teachings of all three branches of Buddhism have spread throughout the world, and Buddhist texts are increasingly translated into local languages. While in the West Buddhism is often seen as exotic and progressive, in the East it is regarded as familiar and traditional. Buddhists in Asia are frequently well organized and well funded. In countries such as Cambodia and Bhutan, it is recognized as the state religion and receives government support. Modern influences increasingly lead to new forms of Buddhism that significantly depart from traditional beliefs and practices."",

answer the following question. Note that the answer is present within the text.

Question: What religion receives support from the government of Bhutan?",Buddhism,,adversarial_qa,4553.0
"Process:
- A forest fire starts
- The fire surrounds the vicinity
- The animals are trapped
- Those that survive have their habitat destroyed
- The survivors must find a new habitat
- Conflict with other animals occur.

Question:
suppose less minerals will form happens, how will it affect a SMALLER negative effect on animals.

- A: more
- B: less
- C: no effect",C,A|||B|||C,wiqa,14599.0
"Gills are used by what for breathing water?

Choose an answer from this list:
- marlins
- eagles
- zebras
- goats",marlins,marlins|||eagles|||zebras|||goats,openbookqa,4188.0
"Process:

- Greenhouse gases are released into the air by human activities
- The earth changes energy from the sun into heat
- Heat rises from the ground
- Greenhouse gas molecules in the atmosphere prevent the heat from going into space
- The temperature of the earth increases
- The temperature continues to rise and melts the polar ice caps
- The temperature rises even faster.

Perturbation hypothesis:
suppose a person is forced to hydrate well happens, how will it affect a GREATER greenhouse effect.

Does the supposed perturbation have an effect (direct or indirect) on the process?",no,yes|||no,wiqa,9834.0
"I read this background article the other day: Hepatitis B is a disease of the liver. It is caused by a virus called hepatitis B, which can be passed through sexual activity. Hepatitis B causes vomiting. It also causes yellowing of the skin and eyes. The disease goes away on its own in some people. Other people are sick for the rest of their lives. In these people, the virus usually damages the liver. It may also lead to liver cancer. Medicines can help prevent liver damage in these people. There is also a vaccine to protect against hepatitis B.

I am facing a new situation today: People from two villages got infected with viruses and got sick. People from Hill village got infected with the flu, while people in Valley village got infected with hepatitis B.

Using the knowledge I acquired from the background article, how should I answer correctly the following question regarding my new situation: Which villagers will experience more damage to the liver?",Valley,,ropes,3777.0
"Read the following context and answer the question.
Context: I think that one of the people who caused me the most misery for the longest was someone that I’ll call “Luna”.
So, most people have probably met that person that acts all suicidal and then uses that against you. For example, you’re talking to someone like that and you’re having some sort of argument and the moment they realize they aren’t winning they send you pictures of their bloodied wrists and say “This is your fault”.
Well, that person was my friend for a long time. Every time I would try to leave her to go to sleep she would threaten to do “something bad” and I knew what she meant, and me, first meeting her when I was around 9 or 10, and I was still extremely naive.
So most of the time, I ended up staying awake til 3 AM on school nights and I would get only a few hours of sleep, and she’d be happy because her life wasn’t worsened at all.
But I think the thing that made me the most miserable, was the fact that it never got better. No matter how much I talked to her, or how sympathetic I tried to be, or how much I tried to convince her to be happier, it never got better. She still acted super depressed, but like it was a joke. All of these things combined to make me completely miserable because it seemed like it was all for nothing.
But I just let it happen, because she was the only person I had and she was really my only “friend” at that point, and all the way up to seventh grade. So for that entire period of time, she certainly wasn’t the only source of misery for me, but she made me feel way worse than I would have if I hadn’t been friends with her.
Question: What did the person do to try to help her friend?
Answer:",convince her to be happier,convince her to go to school|||convince her to buy a lottery ticket|||convince her to be happier|||not enough information,quail,4819.0
What's the answer to that question: what are all the countries in nato?,Netherlands,,webquestions,2338.0
